,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
106,Lutein,['Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.'],34,'Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.',Taking lutein with carotenoids or naringenin may reduce lutein absorption,0
108,Calcifediol,"['Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.']",35,"'Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.'",'Take with or without food,0
109,Calcifediol,"['Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.']",35,"'Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.'","A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3",0
110,Calcifediol,"['Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.']",35,"'Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.'","5 and 5 fold, respectively",0
112,Vitamin E,['Take with or without food. High-fat foods may increase absorption of Vitamin E.'],36,'Take with or without food. High-fat foods may increase absorption of Vitamin E.','Take with or without food,0
113,Vitamin E,['Take with or without food. High-fat foods may increase absorption of Vitamin E.'],36,'Take with or without food. High-fat foods may increase absorption of Vitamin E.',High-fat foods may increase absorption of Vitamin E,0
115,Pravastatin,['Take with or without food. Lipid lowering effects are similar in the fasting and fed state.'],37,'Take with or without food. Lipid lowering effects are similar in the fasting and fed state.','Take with or without food,0
116,Pravastatin,['Take with or without food. Lipid lowering effects are similar in the fasting and fed state.'],37,'Take with or without food. Lipid lowering effects are similar in the fasting and fed state.',Lipid lowering effects are similar in the fasting and fed state,0
118,Fluvoxamine,"['Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.']",38,"'Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.'",'Avoid alcohol,0
119,Fluvoxamine,"['Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.']",38,"'Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.'","', 'Avoid grapefruit products",0
120,Fluvoxamine,"['Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.']",38,"'Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.'","', 'Limit caffeine intake",0
121,Fluvoxamine,"['Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.']",38,"'Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.'","', 'Take with or without food",0
122,Fluvoxamine,"['Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.']",38,"'Avoid alcohol.', 'Avoid grapefruit products.', 'Limit caffeine intake.', 'Take with or without food. The absorption is unaffected by food.'",The absorption is unaffected by food,0
124,Valsartan,"['Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.']",39,"'Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.'",'Take with or without food,0
125,Valsartan,"['Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.']",39,"'Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.'","Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent",0
127,Ramipril,"['Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.']",40,"'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.'",'Avoid potassium-containing products,0
128,Ramipril,"['Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.']",40,"'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.'",Potassium products increase the risk of hyperkalemia,0
129,Ramipril,"['Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.']",40,"'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.'","', 'Take with or without food",0
130,Ramipril,"['Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.']",40,"'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Take with or without food. The absorption is unaffected by food.'",The absorption is unaffected by food,0
132,Baclofen,"['Avoid alcohol.', 'Take with food. Take with food or milk to reduce gastric irritation.']",41,"'Avoid alcohol.', 'Take with food. Take with food or milk to reduce gastric irritation.'",'Avoid alcohol,0
133,Baclofen,"['Avoid alcohol.', 'Take with food. Take with food or milk to reduce gastric irritation.']",41,"'Avoid alcohol.', 'Take with food. Take with food or milk to reduce gastric irritation.'","', 'Take with food",0
134,Baclofen,"['Avoid alcohol.', 'Take with food. Take with food or milk to reduce gastric irritation.']",41,"'Avoid alcohol.', 'Take with food. Take with food or milk to reduce gastric irritation.'",Take with food or milk to reduce gastric irritation,0
136,Amphetamine,['Take with or without food.'],42,'Take with or without food.','Take with or without food,0
138,Nicotine,"['Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use.']",43,"'Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use.'",'Take separate from meals,0
139,Nicotine,"['Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use.']",43,"'Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use.'","For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use",0
141,Lorazepam,"['Avoid alcohol.', 'Limit caffeine intake.', 'Take with food.']",44,"'Avoid alcohol.', 'Limit caffeine intake.', 'Take with food.'",'Avoid alcohol,0
142,Lorazepam,"['Avoid alcohol.', 'Limit caffeine intake.', 'Take with food.']",44,"'Avoid alcohol.', 'Limit caffeine intake.', 'Take with food.'","', 'Limit caffeine intake",0
143,Lorazepam,"['Avoid alcohol.', 'Limit caffeine intake.', 'Take with food.']",44,"'Avoid alcohol.', 'Limit caffeine intake.', 'Take with food.'","', 'Take with food",0
145,Bortezomib,"[""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib."", 'Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib.', 'Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea.', 'Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.']",45,"""Avoid St John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib."", 'Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib.', 'Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea.', 'Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.'","""Avoid St John's Wort",0
